combined,label
SUBJECT: Sales Forecast BODY: Preparing next month’s sales forecast.,Sales
SUBJECT: Network Outage BODY: Network outage detected in the east wing.,Support
SUBJECT: Dependent Coverage Update BODY: Updating dependents for health insurance.,HR
SUBJECT: HR Portal Access BODY: Requesting access to HR employee portal.,HR
SUBJECT: Training Approval BODY: Requesting approval for safety training.,HR
SUBJECT: Request for Quotation BODY: Can you provide a quote for 500 units?,Sales
SUBJECT: Month-End Closing BODY: Reminder about month-end closing.,Finance
SUBJECT: Packaging Feedback BODY: Feedback regarding product packaging.,Sales
SUBJECT: Credit Note Query BODY: Question about credit note process.,Finance
SUBJECT: Software Installation BODY: Requesting installation of Photoshop.,Support
SUBJECT: Keyboard Issues BODY: Keys on my keyboard are stuck.,Support
SUBJECT: Payroll Deduction Query BODY: I have a question about payroll deductions.,HR
SUBJECT: Security Update BODY: Requesting latest security update installation.,Support
SUBJECT: Demo Request BODY: Client interested in product demo.,Sales
SUBJECT: Urgent Invoice BODY: This invoice needs urgent processing.,Finance
SUBJECT: Onboarding Schedule BODY: Please confirm my onboarding date.,HR
SUBJECT: Sick Leave Documentation BODY: Attached is my sick leave form.,HR
SUBJECT: Billing Address Update BODY: Request to update billing address.,Finance
SUBJECT: Laptop Not Starting BODY: My laptop is not turning on.,Support
SUBJECT: Commercial Offer BODY: Sending updated commercial offer.,Sales
SUBJECT: Leave Balance Inquiry BODY: What is my remaining annual leave balance?,HR
SUBJECT: Tax Withholding Question BODY: Need clarification on tax withholding.,Finance
SUBJECT: Declined Transaction BODY: Query regarding declined transaction.,Finance
SUBJECT: Leave Request BODY: Requesting approval for annual leave next Monday.,HR
SUBJECT: Overheating Issue BODY: Computer overheating during regular use.,Support
SUBJECT: Quote Revision BODY: Urgent request for revised quotation.,Sales
SUBJECT: Pricing Update BODY: Client wants updated pricing information.,Sales
SUBJECT: Monitor Flicker BODY: Monitor is flickering intermittently.,Support
SUBJECT: Lead Follow-up BODY: Lead from yesterday requesting callback.,Sales
SUBJECT: Benefits Inquiry BODY: I have a question regarding my employee benefits.,HR
SUBJECT: Printer Jam BODY: The printer on floor 3 is jammed.,Support
SUBJECT: Warranty Information BODY: Client wants extended warranty details.,Sales
SUBJECT: Cost Center Setup BODY: Requesting new cost center setup.,Finance
SUBJECT: Vendor Payment BODY: Can you confirm the vendor payment date?,Finance
SUBJECT: Shared Drive Access BODY: Unable to access shared drive.,Support
SUBJECT: Mouse Replacement BODY: Requesting a new mouse.,Support
SUBJECT: Stock Availability BODY: Requesting product availability.,Sales
SUBJECT: Update Personal Information BODY: Please update my phone number in the HR system.,HR
SUBJECT: Grievance Follow-up BODY: Follow-up on grievance I submitted.,HR
SUBJECT: Audio Issue BODY: Audio not working during meetings.,Support
SUBJECT: Integration Docs BODY: Prospect requesting integration documentation.,Sales
SUBJECT: Camera Not Detected BODY: My webcam is not detected.,Support
SUBJECT: Overtime Policy Clarification BODY: Need clarification on updated overtime rules.,HR
SUBJECT: Antivirus Alert BODY: Repeated antivirus warning popup.,Support
SUBJECT: Health Insurance Question BODY: Can I get details about our new insurance policy?,HR
SUBJECT: Budget Approval Needed BODY: Requesting approval for quarterly budget.,Finance
SUBJECT: License Expired BODY: Software license expired.,Support
SUBJECT: Password Reset BODY: I need a password reset.,Support
SUBJECT: Payment Confirmation BODY: Requesting payment confirmation.,Finance
SUBJECT: Internal Job Application BODY: Checking status of my internal job application.,HR
SUBJECT: Purchase Agreement BODY: Signed purchase agreement attached.,Sales
SUBJECT: Urgent Stock Check BODY: Checking urgent stock availability.,Sales
SUBJECT: Discount Request BODY: Requesting discount approval.,Sales
SUBJECT: Invoice Attached BODY: Invoice for last month's services is attached.,Finance
SUBJECT: Performance Review Submission BODY: Submitting my Q2 performance review.,HR
SUBJECT: System Slow BODY: My system is running slowly.,Support
SUBJECT: Work Schedule Change BODY: Request to modify my work schedule.,HR
SUBJECT: Blue Screen BODY: Received blue screen error this morning.,Support
SUBJECT: Refund Status BODY: Checking status of refund request.,Finance
SUBJECT: Customization Options BODY: Asking about customization options.,Sales
SUBJECT: CapEx Approval BODY: Approval needed for capital expenditure.,Finance
SUBJECT: Injury Report BODY: Need assistance with workplace injury report.,HR
SUBJECT: Revenue Forecast BODY: Requesting revised revenue forecast.,Finance
SUBJECT: Contract Renewal BODY: Customer asking about contract renewal.,Sales
SUBJECT: Pricing Sheet Update BODY: Need the updated pricing sheet.,Finance
SUBJECT: Purchase Order Follow-up BODY: Follow-up on purchase order 4821.,Finance
SUBJECT: Ticket Follow-Up BODY: Following up on unresolved IT ticket.,Support
SUBJECT: Invoice Follow-up BODY: Client following up on invoice status.,Sales
SUBJECT: Payment Reminder BODY: Reminder for outstanding invoice payment.,Finance
SUBJECT: Employment Verification BODY: Requesting employment verification letter.,HR
