subject,text,label
"Leave Request","Requesting approval for annual leave next Monday.","HR"
"Update Personal Information","Please update my phone number in the HR system.","HR"
"Health Insurance Question","Can I get details about our new insurance policy?","HR"
"Benefits Inquiry","I have a question regarding my employee benefits.","HR"
"Performance Review Submission","Submitting my Q2 performance review.","HR"
"Overtime Policy Clarification","Need clarification on updated overtime rules.","HR"
"Sick Leave Documentation","Attached is my sick leave form.","HR"
"Onboarding Schedule","Please confirm my onboarding date.","HR"
"Employment Verification","Requesting employment verification letter.","HR"
"Emergency Contact Update","I need help updating my emergency contact.","HR"
"Leave Balance Inquiry","What is my remaining annual leave balance?","HR"
"Harassment Concern","I want to report a workplace harassment incident.","HR"
"Training Approval","Requesting approval for safety training.","HR"
"Internal Job Application","Checking status of my internal job application.","HR"
"Promotion Inquiry","Follow-up on promotion eligibility.","HR"
"Orientation Feedback","Feedback regarding the HR orientation.","HR"
"Contract Revision","Requesting a revised employment contract.","HR"
"Injury Report","Need assistance with workplace injury report.","HR"
"Company Handbook","Please send the updated employee handbook.","HR"
"Payroll Deduction Query","I have a question about payroll deductions.","HR"
"Safety Module Reminder","Reminder to complete safety training.","HR"
"HR Portal Access","Requesting access to HR employee portal.","HR"
"Grievance Follow-up","Follow-up on grievance I submitted.","HR"
"Dependent Coverage Update","Updating dependents for health insurance.","HR"
"Work Schedule Change","Request to modify my work schedule.","HR"

"Invoice Attached","Invoice for last month's services is attached.","Finance"
"Budget Approval Needed","Requesting approval for quarterly budget.","Finance"
"Payment Reminder","Reminder for outstanding invoice payment.","Finance"
"Expense Report Review","Please review the attached expense report.","Finance"
"Tax Withholding Question","Need clarification on tax withholding.","Finance"
"Vendor Payment","Can you confirm the vendor payment date?","Finance"
"Reimbursement Receipts","Submitting receipts for reimbursement.","Finance"
"Financial Statement Update","Updated financial statement attached.","Finance"
"Cost Center Setup","Requesting new cost center setup.","Finance"
"Pricing Sheet Update","Need the updated pricing sheet.","Finance"
"Budget Adjustment","Request for project budget adjustment.","Finance"
"Purchase Order Follow-up","Follow-up on purchase order 4821.","Finance"
"Credit Note Query","Question about credit note process.","Finance"
"Declined Transaction","Query regarding declined transaction.","Finance"
"Month-End Closing","Reminder about month-end closing.","Finance"
"CapEx Approval","Approval needed for capital expenditure.","Finance"
"Urgent Invoice","This invoice needs urgent processing.","Finance"
"Payment Confirmation","Requesting payment confirmation.","Finance"
"Expense Workflow Help","Need help with expense approval flow.","Finance"
"Corporate Card Charges","Question about corporate card expenses.","Finance"
"Bank Reconciliation","Bank reconciliation report attached.","Finance"
"Billing Address Update","Request to update billing address.","Finance"
"Revenue Forecast","Requesting revised revenue forecast.","Finance"
"Refund Status","Checking status of refund request.","Finance"
"Tax Document Update","Request for updated tax documentation.","Finance"

"Laptop Not Starting","My laptop is not turning on.","Support"
"VPN Error","Unable to connect to company VPN.","Support"
"Printer Jam","The printer on floor 3 is jammed.","Support"
"Email Sync Issue","Experiencing issues with email syncing.","Support"
"Software Installation","Requesting installation of Photoshop.","Support"
"System Slow","My system is running slowly.","Support"
"Monitor Flicker","Monitor is flickering intermittently.","Support"
"Network Outage","Network outage detected in the east wing.","Support"
"Password Reset","I need a password reset.","Support"
"Zoom Crashing","Zoom keeps crashing during calls.","Support"
"Shared Drive Access","Unable to access shared drive.","Support"
"Headset Not Working","Phone headset is not functioning.","Support"
"Security Update","Requesting latest security update installation.","Support"
"Intranet Not Loading","Internal websites are not opening.","Support"
"Outlook Configuration","Need help configuring Outlook.","Support"
"WiFi Drops","Wi-Fi signal drops frequently.","Support"
"Keyboard Issues","Keys on my keyboard are stuck.","Support"
"Ticket Follow-Up","Following up on unresolved IT ticket.","Support"
"Camera Not Detected","My webcam is not detected.","Support"
"Antivirus Alert","Repeated antivirus warning popup.","Support"
"Overheating Issue","Computer overheating during regular use.","Support"
"License Expired","Software license expired.","Support"
"Audio Issue","Audio not working during meetings.","Support"
"Blue Screen","Received blue screen error this morning.","Support"
"Mouse Replacement","Requesting a new mouse.","Support"

"Request for Quotation","Can you provide a quote for 500 units?","Sales"
"Proposal Follow-up","Following up on proposal sent last week.","Sales"
"Demo Request","Client interested in product demo.","Sales"
"Pricing Update","Client wants updated pricing information.","Sales"
"Stock Availability","Requesting product availability.","Sales"
"Contract Renewal","Customer asking about contract renewal.","Sales"
"Product Brochure","Sending brochure for new product line.","Sales"
"Sales Presentation","Need help preparing sales presentation.","Sales"
"Lead Follow-up","Lead from yesterday requesting callback.","Sales"
"Discount Request","Requesting discount approval.","Sales"
"Purchase Agreement","Signed purchase agreement attached.","Sales"
"Shipment Timeline","Customer asking about shipment schedule.","Sales"
"Invoice Follow-up","Client following up on invoice status.","Sales"
"Customization Options","Asking about customization options.","Sales"
"RFP Preparation","Preparing draft response for RFP.","Sales"
"Packaging Feedback","Feedback regarding product packaging.","Sales"
"Urgent Stock Check","Checking urgent stock availability.","Sales"
"Warranty Information","Client wants extended warranty details.","Sales"
"Sales Forecast","Preparing next month’s sales forecast.","Sales"
"Partnership Inquiry","Client interested in partnership.","Sales"
"Multi-Year Pricing","Customer wants multi-year pricing options.","Sales"
"Sample Unit Request","Sales team requesting sample units.","Sales"
"Integration Docs","Prospect requesting integration documentation.","Sales"
"Quote Revision","Urgent request for revised quotation.","Sales"
"Commercial Offer","Sending updated commercial offer.","Sales"
